Общая стоимость товаров,Общая сумма заказа,ID товара,Наименование,Артикул_x,Свободно,В резерве,Ед. изм,Цена закупки,Валюта цены представление,Артикул_y,Id,Количество товаров
3500,3500,148073704,"конструктор ""робот-паук""",NDP-017,,,шт,,,NDP-017,,
3500,3500,148073798,"конструктор ""тирекс 4 в 1""",NDP-2125,,,,,,,,
3500,3500,148073644,"электронный конструктор знаток ""альтернативная энергия"" 50 проектов ""малый набор""",ZP-70690,7,5,шт,,,ZP-70690,,
390,390,148073650,кружка tux!,lc101234,-3,6,шт,,,lc101234,,
5501.6000000000004,5855,148073983,одноплатный микрокомпьютер raspberry pi 4 (4gb ram),RPI-4B-4GB,,,,,,,,
695,1117,160828922,debian 10.2 (для платформы x86-64 / usb flash 16 gb),debian-102-USB-64,,,,380.5,,,,
5501.6000000000004,5761,148073983,одноплатный микрокомпьютер raspberry pi 4 (4gb ram),RPI-4B-4GB,,,,,,,,
4290,4606,148073982,одноплатный микрокомпьютер raspberry pi 4 (2gb ram) (2 гб),RPI-4B-2GB,,,,,,,,
750,750,148073720,мини-tux,lc8250,15,105,шт,630,,TU-tux-big,,
750,1016,148073720,мини-tux,lc8250,15,105,шт,630,,TU-tux-big,,
1162.72,1439.0799999999999,148073687,"исследовательский набор ""природное электричество""",NDP-035,,,,,,,,
1162.72,1439.0799999999999,148073706,электромеханический конструктор nd play на элементах питания робот-художник 3 в 1,NDP-029,,,,,,,,
26960,26960,148073984,блок питания для raspberry pi 4,RPI-4-PSU,,,,,,,,
26960,26960,148726626,корпус для raspberry pi 4,RPI-4B-case,,,шт,,,RPI-4B-case-RW,,
26960,26960,148073983,одноплатный микрокомпьютер raspberry pi 4 (4gb ram),RPI-4B-4GB,,,,,,,,
7000,7000,154910611,подписка на электронную версию журнала «бит. бизнес&информационные технологии» 01-10/2020,bit-el-2020-01-10,,,шт,,,bit-el-2020-01-10,,
7000,7000,154910628,подписка на электронную версию журнала «системный администратор» 01-12/2020,samag-el-2020-01-12,,,шт,2200,,samag-el-2020-01-12,,
5090,5090,148073861,электронный конструктор матрёшка z,AMP-S010,,,,3652,,,,
7255,7255,164817966,apache openoffice 4.1 (с лицензионным договором присоединения) (1dvd),OpenOffice-41-DVD-L,,,,,,,,
405.60000000000002,670,148073650,кружка tux!,lc101234,-3,6,шт,,,lc101234,,
5293.6000000000004,5515.1199999999999,148073861,электронный конструктор матрёшка z,AMP-S010,,,,3652,,,,
4290,4290,148073982,одноплатный микрокомпьютер raspberry pi 4 (2gb ram) (2 гб),RPI-4B-2GB,,,,,,,,
1349.9200000000001,1349.9200000000001,148073685,"исследовательский набор ""картофельные часы""",NDP-034,,,шт,,,NDP-034,,
1349.9200000000001,1349.9200000000001,148073699,"конструктор ""миссия на марс 4 в 1""",NDP-054,,,,,,,,
53400,53650,148073983,одноплатный микрокомпьютер raspberry pi 4 (4gb ram),RPI-4B-4GB,,,,,,,,
53400,53650,148074035,оригинальный блок питания для cubieboard 3/4/5/6 5v/4a,lc8741,,,шт,,,lc8741,,
53400,53650,165155959,радиаторы для raspberry pi,lc8367,,,,150,,,,
53400,53650,159279894,символьный дисплей lcd1602a с адаптером iic/i2c,,,,,,,,,
7970,8319,165157248,импульсный блок питания ginzzu ga-3311ub,,,,,498,,,,
7970,8319,165159612,кабель 1m orange (hdmi — micro-hdmi),,,,,360,,,,
7970,8319,165157828,кабель usb a — usb type c,,,,шт,314,,249187,,
7970,8319,148726626,корпус для raspberry pi 4,RPI-4B-case,,,шт,,,RPI-4B-case-RW,,
7970,8319,148073983,одноплатный микрокомпьютер raspberry pi 4 (4gb ram),RPI-4B-4GB,,,,,,,,
4090,4090,148073860,электронный конструктор матрёшка y,AMP-S009,,,,,,,,
849,1255,148073708,"конструктор ""роботостроение 14 в 1""",NDP-2115,,,,,,,,
695,1033,156667737,ubuntu 19.10 (для платформы x86-64 / usb flash 16 gb),ubuntu-1910-USB-64,,,,,,,,
5290,5556,148073983,одноплатный микрокомпьютер raspberry pi 4 (4gb ram),RPI-4B-4GB,,,,,,,,
780,1040,148073720,мини-tux,lc8250,15,105,шт,630,,TU-tux-big,,
